location,year,run,fuel,transmission,owner,mileage,engine,power,seats,brand,model
Mumbai,2017,22000,Diesel,Manual,1,13.68,2393.0,b'58.16',8.0,Toyota,102
Bangalore,2010,72000,Diesel,Manual,1,20.0,1399.0,b'58.16',5.0,Ford,80
Delhi,2015,58000,Petrol,Automatic,1,11.74,1796.0,b'58.16',5.0,Mercedes-Benz,125
Pune,2011,65000,Diesel,Manual,2,15.8,2148.0,b'58.16',5.0,Mercedes-Benz,125
Chennai,2016,178000,Diesel,Manual,1,25.0,1396.0,b'58.16',5.0,Tata,100
Jaipur,2012,65664,Diesel,Automatic,1,16.55,1968.0,b'58.16',5.0,Audi,12
Mumbai,2007,63000,Petrol,Automatic,2,16.4,1497.0,b'58.16',5.0,Honda,47
Coimbatore,2019,15369,Diesel,Automatic,1,0.0,1950.0,b'58.16',5.0,Mercedes-Benz,35
Pune,2016,63000,Diesel,Manual,1,24.52,1248.0,b'58.16',7.0,Maruti,72
Mumbai,2018,13000,Diesel,Manual,1,22.1,1396.0,b'58.16',5.0,Hyundai,56
Mumbai,2008,73000,Petrol,Automatic,1,8.5,4806.0,b'58.16',5.0,Porsche,42
Mumbai,2015,55729,Diesel,Manual,1,15.1,2179.0,b'58.16',7.0,Mahindra,208
Kochi,2012,45178,Petrol,Automatic,1,16.95,1197.0,b'58.16',5.0,Hyundai,216
Kochi,2015,56066,Diesel,Manual,1,19.64,1461.0,b'58.16',5.0,Nissan,181
Coimbatore,2016,37300,Petrol,Automatic,2,16.5,1198.0,b'58.16',5.0,Honda,34
Delhi,2014,56000,Diesel,Automatic,2,18.53,1968.0,b'58.16',5.0,Audi,13
Jaipur,2008,111111,Diesel,Manual,1,17.8,1399.0,b'58.16',5.0,Ford,79
Chennai,2006,230000,Petrol,Manual,3,12.4,1998.0,b'58.16',8.0,Toyota,102
Hyderabad,2012,104000,Diesel,Manual,1,12.8,2494.0,b'58.16',7.0,Toyota,102
Hyderabad,2005,87591,Petrol,Manual,1,0.0,1086.0,b'58.16',5.0,Hyundai,166
Jaipur,2012,95100,Diesel,Manual,1,22.9,1248.0,b'58.16',5.0,Maruti,176
Pune,2017,70000,Petrol,Manual,1,17.57,1193.0,b'58.16',5.0,Tata,215
Kochi,2016,54944,Petrol,Manual,1,18.0,1198.0,b'58.16',5.0,Honda,20
Hyderabad,2012,70337,Diesel,Manual,1,20.0,1399.0,b'58.16',5.0,Ford,80
Jaipur,2013,99638,Diesel,Manual,1,23.2,1248.0,b'58.16',5.0,Maruti,152
Delhi,2009,52000,Petrol,Manual,1,17.8,1497.0,b'58.16',5.0,Honda,47
Delhi,2011,75000,Diesel,Automatic,2,16.73,1995.0,b'58.16',5.0,BMW,5
Pune,2009,95980,Petrol,Manual,1,20.36,1197.0,b'58.16',5.0,Hyundai,216
Bangalore,2016,16000,Petrol,Manual,1,18.9,1197.0,b'58.16',5.0,Hyundai,95
Hyderabad,2007,73745,Petrol,Manual,1,17.0,1086.0,b'58.16',5.0,Hyundai,166
Mumbai,2016,18949,Petrol,Manual,1,17.8,1198.0,b'58.16',5.0,Honda,20
Delhi,2014,107000,Diesel,Manual,1,13.0,2982.0,b'58.16',7.0,Toyota,83
Coimbatore,2018,48367,Diesel,Automatic,1,17.68,1968.0,b'58.16',5.0,Audi,13
Delhi,2013,57000,Diesel,Manual,1,22.7,1498.0,b'58.16',5.0,Ford,66
Delhi,2014,58000,Diesel,Manual,1,15.1,2179.0,b'58.16',7.0,Mahindra,208
Kolkata,2015,30000,Diesel,Manual,1,25.8,1498.0,b'58.16',5.0,Honda,20
Kolkata,2013,34212,Diesel,Manual,1,22.07,1199.0,b'58.16',5.0,Volkswagen,138
Ahmedabad,2010,70002,Diesel,Manual,1,16.2,1493.0,b'58.16',5.0,Hyundai,191
Bangalore,2016,62000,Petrol,Manual,1,18.9,998.0,b'58.16',5.0,Maruti,196
Delhi,2010,62001,Petrol,Manual,1,15.26,1598.0,b'58.16',5.0,Volkswagen,138
Pune,2011,78958,Diesel,Manual,2,23.0,1396.0,b'58.16',5.0,Hyundai,217
Mumbai,2014,30180,Petrol,Manual,1,18.5,1197.0,b'58.16',5.0,Hyundai,217
Pune,2017,32851,Petrol,Manual,1,19.83,1198.0,b'58.16',7.0,Datsun,92
Kolkata,2010,30000,Diesel,Automatic,1,14.94,2967.0,b'58.16',5.0,Audi,12
Pune,2009,66000,Petrol,Manual,2,17.0,1197.0,b'58.16',5.0,Hyundai,217
Coimbatore,2010,93850,Petrol,Manual,1,14.0,796.0,b'58.16',5.0,Maruti,129
Ahmedabad,2014,53000,Petrol,Manual,1,17.71,1197.0,b'58.16',5.0,Toyota,75
Hyderabad,2011,78000,Diesel,Automatic,2,14.74,2993.0,b'58.16',5.0,Jaguar,205
Delhi,2012,65000,Diesel,Manual,2,16.0,2179.0,b'58.16',7.0,Mahindra,208
Kolkata,2014,40000,Diesel,Automatic,1,22.32,1582.0,b'58.16',5.0,Hyundai,191
Mumbai,2017,30000,Diesel,Automatic,1,11.36,2755.0,b'58.16',7.0,Toyota,102
Coimbatore,2017,38053,Petrol,Manual,1,15.1,1196.0,b'58.16',5.0,Maruti,67
Bangalore,2014,25500,Petrol,Manual,1,25.4,624.0,b'58.16',4.0,Tata,124
Mumbai,2015,56087,Diesel,Automatic,1,22.69,1995.0,b'58.16',5.0,BMW,3
Delhi,2010,71088,Petrol,Manual,1,13.5,1799.0,b'58.16',5.0,Honda,48
Ahmedabad,2014,55000,Diesel,Manual,1,12.99,2494.0,b'58.16',7.0,Toyota,102
Bangalore,2014,32700,Diesel,Automatic,1,23.3,1984.0,b'58.16',5.0,Volvo,187
Coimbatore,2016,39882,Petrol,Automatic,1,19.15,1198.0,b'58.16',5.0,Nissan,119
Mumbai,2009,128000,Petrol,Automatic,1,10.8,2497.0,b'58.16',5.0,BMW,5
Mumbai,2016,55000,Diesel,Manual,1,24.3,1248.0,b'58.16',5.0,Maruti,193
Mumbai,2005,102000,Petrol,Manual,2,17.0,1086.0,b'58.16',5.0,Hyundai,166
Pune,2014,53753,Diesel,Automatic,2,15.0,2143.0,b'58.16',5.0,Mercedes-Benz,25
Kolkata,2018,10250,Diesel,Manual,1,22.0,1582.0,b'58.16',5.0,Hyundai,191
Pune,2011,43874,Petrol,Manual,1,18.9,998.0,b'58.16',5.0,Maruti,196
Coimbatore,2017,32684,Petrol,Automatic,1,21.9,624.0,b'58.16',4.0,Tata,124
Kolkata,2014,42000,Diesel,Manual,1,12.05,2179.0,b'58.16',8.0,Mahindra,168
Kolkata,2009,28352,Petrol,Automatic,1,11.7,1796.0,b'58.16',5.0,Mercedes-Benz,125
Pune,2013,89900,CNG,Manual,1,26.6,998.0,b'58.16',5.0,Maruti,196
Bangalore,2007,47700,Petrol,Manual,2,10.8,2354.0,b'58.16',5.0,Honda,38
Pune,2015,55000,Diesel,Automatic,1,21.21,1498.0,b'58.16',5.0,Volkswagen,188
Kochi,2017,44285,Petrol,Manual,1,20.73,1373.0,b'58.16',5.0,Maruti,46
Jaipur,2016,54000,Diesel,Automatic,1,16.0,2179.0,b'58.16',7.0,Mahindra,208
Coimbatore,2016,30232,Petrol,Manual,1,21.1,1197.0,b'58.16',5.0,Maruti,152
Hyderabad,2014,88500,Petrol,Manual,1,24.07,998.0,b'58.16',5.0,Maruti,19
Kolkata,2017,13372,Petrol,Automatic,1,19.0,2996.0,b'58.16',2.0,Mercedes-Benz,160
Kochi,2019,12645,Petrol,Automatic,1,17.0,1591.0,b'58.16',5.0,Hyundai,191
Chennai,2010,94385,Petrol,Manual,2,19.7,796.0,b'58.16',5.0,Maruti,19
Coimbatore,2015,31821,Diesel,Automatic,1,20.58,1995.0,b'58.16',5.0,BMW,0
Mumbai,2015,12000,Petrol,Automatic,1,19.0,1199.0,b'58.16',5.0,Honda,103
Delhi,2012,88578,Petrol,Manual,1,13.5,1799.0,b'58.16',5.0,Honda,48
Kochi,2014,44965,Diesel,Automatic,1,19.27,2143.0,b'58.16',5.0,Mercedes-Benz,125
Kolkata,2014,45044,Diesel,Manual,1,25.8,1498.0,b'58.16',5.0,Honda,20
Kochi,2016,34204,Petrol,Manual,1,22.0,1197.0,b'58.16',5.0,Maruti,176
Kochi,2008,80759,Petrol,Manual,3,17.0,1086.0,b'58.16',5.0,Hyundai,166
Coimbatore,2012,91235,Diesel,Manual,1,11.5,2982.0,b'58.16',7.0,Toyota,83
Pune,2014,38800,Petrol,Manual,1,18.6,1199.0,b'58.16',5.0,Chevrolet,29
Chennai,2013,83000,Diesel,Manual,1,21.14,1498.0,b'58.16',5.0,Skoda,149
Kochi,2018,41283,Petrol,Manual,1,20.73,1373.0,b'58.16',5.0,Maruti,46
Mumbai,2013,23000,Petrol,Automatic,1,11.05,2894.0,b'58.16',4.0,Audi,148
Mumbai,2014,48000,Diesel,Automatic,1,21.76,1995.0,b'58.16',5.0,BMW,3
Coimbatore,2015,48214,Diesel,Automatic,1,17.11,1968.0,b'58.16',5.0,Audi,12
Chennai,2016,35000,Diesel,Manual,1,22.9,1248.0,b'58.16',5.0,Maruti,176
Kolkata,2010,35277,Petrol,Automatic,1,7.81,5461.0,b'58.16',5.0,Mercedes-Benz,154
Coimbatore,2016,54620,Diesel,Automatic,1,21.66,1498.0,b'58.16',5.0,Skoda,149
Pune,2012,136997,Diesel,Automatic,1,17.2,1968.0,b'58.16',5.0,Skoda,175
Kochi,2019,14322,Petrol,Manual,1,21.1,814.0,b'58.16',5.0,Hyundai,64
Jaipur,2012,65634,Diesel,Manual,1,22.07,1199.0,b'58.16',5.0,Volkswagen,138
Kolkata,2016,6000,Petrol,Manual,1,20.63,1198.0,b'58.16',5.0,Datsun,92
Kolkata,2013,33280,Petrol,Manual,1,19.4,1198.0,b'58.16',5.0,Honda,34
Delhi,2013,29000,Petrol,Automatic,1,14.8,1595.0,b'58.16',5.0,Mercedes-Benz,25
Kochi,2015,42831,Diesel,Manual,1,26.0,1498.0,b'58.16',5.0,Honda,47
Ahmedabad,2016,90000,Diesel,Manual,1,12.99,2494.0,b'58.16',7.0,Toyota,102
Ahmedabad,2017,24005,Petrol,Manual,1,20.4,1197.0,b'58.16',5.0,Maruti,176
Mumbai,2012,32792,Diesel,Manual,1,15.1,2179.0,b'58.16',7.0,Mahindra,208
Kochi,2014,147898,Diesel,Manual,1,22.7,1498.0,b'58.16',5.0,Ford,66
Mumbai,2012,131765,Diesel,Manual,1,13.0,2982.0,b'58.16',7.0,Toyota,83
Chennai,2013,65000,Diesel,Automatic,1,21.5,1498.0,b'58.16',5.0,Volkswagen,188
Jaipur,2010,66123,Diesel,Manual,2,20.0,1399.0,b'58.16',5.0,Ford,80
Mumbai,2015,41000,Diesel,Automatic,1,15.3,2993.0,b'58.16',5.0,BMW,200
Coimbatore,2017,23550,Diesel,Automatic,1,19.27,2143.0,b'58.16',5.0,Mercedes-Benz,125
Bangalore,2012,45000,Petrol,Manual,2,19.4,1198.0,b'58.16',5.0,Honda,34
Delhi,2013,60000,Petrol,Manual,1,20.36,1197.0,b'58.16',5.0,Hyundai,216
Bangalore,2016,44414,Diesel,Automatic,1,17.9,2143.0,b'58.16',5.0,Mercedes-Benz,89
Kolkata,2019,1000,Petrol,Manual,1,18.9,1197.0,b'58.16',5.0,Hyundai,95
Mumbai,2012,62500,Diesel,Automatic,2,17.68,1968.0,b'58.16',5.0,Audi,13
Mumbai,2013,21000,Petrol,Automatic,2,14.4,1598.0,b'58.16',5.0,Volkswagen,188
Jaipur,2017,8525,Diesel,Automatic,2,16.6,1998.0,b'58.16',5.0,Mini,55
Bangalore,2014,29000,Diesel,Manual,1,22.54,1396.0,b'58.16',5.0,Hyundai,217
Mumbai,2014,40000,Diesel,Automatic,1,17.68,1968.0,b'58.16',5.0,Audi,13
Jaipur,2012,88000,Diesel,Manual,1,25.44,936.0,b'58.16',5.0,Chevrolet,29
Kochi,2012,53537,Petrol,Automatic,1,13.7,1798.0,b'58.16',5.0,Skoda,175
Chennai,2006,216000,Diesel,Manual,2,17.8,1399.0,b'58.16',5.0,Ford,79
Hyderabad,2014,51000,Diesel,Automatic,1,22.48,1995.0,b'58.16',5.0,BMW,5
Jaipur,2007,118500,Petrol,Manual,1,12.9,1598.0,b'58.16',5.0,Chevrolet,131
Hyderabad,2012,63000,Diesel,Manual,1,22.07,1199.0,b'58.16',5.0,Volkswagen,138
Mumbai,2015,25000,Diesel,Manual,1,19.98,1461.0,b'58.16',8.0,Renault,113
Bangalore,2014,37382,Diesel,Automatic,1,13.0,2143.0,b'58.16',5.0,Mercedes-Benz,63
Kochi,2017,24773,Petrol,Manual,1,21.4,1197.0,b'58.16',5.0,Maruti,28
Delhi,2012,62000,Diesel,Manual,1,22.32,1582.0,b'58.16',5.0,Hyundai,191
Kochi,2017,52340,Petrol,Manual,1,19.81,1086.0,b'58.16',5.0,Hyundai,216
Kochi,2016,56739,Diesel,Manual,1,15.4,1997.0,b'58.16',7.0,Mahindra,168
Coimbatore,2018,36091,Diesel,Automatic,1,12.7,2179.0,b'58.16',5.0,Land,153
Chennai,2010,120000,Diesel,Manual,1,20.0,1399.0,b'58.16',5.0,Ford,80
Mumbai,2016,33000,Diesel,Manual,1,25.47,1248.0,b'58.16',7.0,Maruti,72
Kolkata,2014,52000,Diesel,Manual,1,25.8,1498.0,b'58.16',5.0,Honda,20
Jaipur,2015,43571,Petrol,Manual,1,20.36,1197.0,b'58.16',5.0,Hyundai,216
Kolkata,2013,50000,Diesel,Manual,1,25.8,1498.0,b'58.16',5.0,Honda,20
Hyderabad,2008,113000,Diesel,Manual,1,17.5,1896.0,b'58.16',5.0,Skoda,111
Delhi,2014,90000,Diesel,Manual,1,19.87,1461.0,b'58.16',5.0,Renault,60
Chennai,2017,29000,Diesel,Manual,2,17.45,1493.0,b'58.16',7.0,Mahindra,127
Mumbai,2016,20000,Diesel,Manual,1,24.3,1248.0,b'58.16',5.0,Maruti,193
Kochi,2016,61012,Petrol,Manual,1,18.6,1197.0,b'58.16',5.0,Hyundai,217
Jaipur,2009,87459,Petrol,Manual,1,14.7,1390.0,b'58.16',5.0,Skoda,78
Pune,2010,70500,Petrol,Manual,1,15.64,1193.0,b'58.16',5.0,Tata,101
Delhi,2015,64103,Diesel,Automatic,1,15.73,1968.0,b'58.16',5.0,Audi,142
Mumbai,2014,76000,Petrol,Automatic,1,14.7,1798.0,b'58.16',5.0,Skoda,128
Delhi,2014,104000,Diesel,Manual,1,23.59,1364.0,b'58.16',5.0,Toyota,75
Kochi,2014,37245,Petrol,Automatic,1,14.8,1595.0,b'58.16',5.0,Mercedes-Benz,25
Kolkata,2013,45000,Diesel,Manual,1,27.4,1498.0,b'58.16',5.0,Honda,20
Jaipur,2012,117837,Diesel,Manual,2,22.32,1582.0,b'58.16',5.0,Hyundai,191
Mumbai,2014,30000,Diesel,Manual,1,20.46,1461.0,b'58.16',5.0,Renault,60
Delhi,2015,27057,Petrol,Manual,2,15.29,1591.0,b'58.16',5.0,Hyundai,56
Mumbai,2016,8500,Petrol,Automatic,1,20.51,998.0,b'58.16',5.0,Maruti,196
Kolkata,2010,30500,Petrol,Automatic,1,11.74,1796.0,b'58.16',5.0,Mercedes-Benz,125
Delhi,2012,56000,Diesel,Automatic,1,11.8,2967.0,b'58.16',5.0,Audi,15
Pune,2012,44000,Petrol,Manual,2,19.81,1086.0,b'58.16',5.0,Hyundai,216
Mumbai,2017,10500,Petrol,Automatic,1,14.3,1598.0,b'58.16',5.0,Skoda,149
Hyderabad,2017,26000,Petrol,Automatic,1,14.67,1798.0,b'58.16',5.0,Skoda,175
Coimbatore,2018,25166,Petrol,Manual,1,17.19,1197.0,b'58.16',5.0,Hyundai,217
Kolkata,2014,64000,Diesel,Manual,2,25.8,1498.0,b'58.16',5.0,Honda,20
Chennai,2004,61000,Petrol,Manual,2,18.9,998.0,b'58.16',5.0,Maruti,196
Hyderabad,2013,107000,Diesel,Manual,1,21.03,1461.0,b'58.16',5.0,Mahindra,190
Coimbatore,2018,29161,Diesel,Automatic,1,19.27,2143.0,b'58.16',5.0,Mercedes-Benz,125
Kolkata,2013,32000,Petrol,Manual,1,22.5,998.0,b'58.16',5.0,Maruti,196
Coimbatore,2015,46173,Diesel,Manual,2,19.01,1461.0,b'58.16',5.0,Nissan,181
Delhi,2013,47000,Diesel,Manual,1,17.8,1248.0,b'58.16',5.0,Maruti,176
Kochi,2017,26327,Petrol,Automatic,1,16.82,1998.0,b'58.16',4.0,Mini,53
Jaipur,2007,200000,Diesel,Manual,2,17.2,1396.0,b'58.16',5.0,Tata,100
Kochi,2016,60813,Petrol,Manual,2,18.6,1199.0,b'58.16',5.0,Chevrolet,29
Mumbai,2012,45000,Diesel,Manual,1,22.07,1199.0,b'58.16',5.0,Volkswagen,138
Hyderabad,2016,64000,Diesel,Manual,1,22.9,1248.0,b'58.16',5.0,Maruti,176
Kolkata,2012,41284,Diesel,Manual,1,20.0,1399.0,b'58.16',5.0,Ford,80
Kochi,2019,14165,Diesel,Automatic,1,11.36,2755.0,b'58.16',7.0,Toyota,102
Mumbai,2011,67000,Diesel,Automatic,2,11.72,2199.0,b'58.16',7.0,Hyundai,165
Kolkata,2011,32572,Petrol,Manual,1,17.4,1497.0,b'58.16',5.0,Honda,47
Kochi,2018,14960,Petrol,Manual,1,18.6,1197.0,b'58.16',5.0,Hyundai,217
Kochi,2015,55980,Diesel,Automatic,1,19.27,2143.0,b'58.16',5.0,Mercedes-Benz,125
Mumbai,2013,74000,Diesel,Manual,1,25.44,936.0,b'58.16',5.0,Chevrolet,29
Kochi,2015,56847,Diesel,Manual,1,22.54,1396.0,b'58.16',5.0,Hyundai,217
Coimbatore,2015,121374,Diesel,Manual,1,12.99,2494.0,b'58.16',7.0,Toyota,102
Chennai,2013,52000,Diesel,Manual,1,20.77,1248.0,b'58.16',7.0,Maruti,72
Mumbai,2014,118000,Diesel,Manual,1,12.8,2494.0,b'58.16',7.0,Toyota,102
Mumbai,2007,72000,Petrol,Manual,3,17.0,1086.0,b'58.16',5.0,Hyundai,166
Kochi,2016,33915,Petrol,Manual,1,17.8,1497.0,b'58.16',5.0,Honda,47
Ahmedabad,2014,82002,Diesel,Automatic,1,17.05,1995.0,b'58.16',5.0,BMW,198
Mumbai,2017,33000,Diesel,Manual,1,24.0,1120.0,b'58.16',5.0,Hyundai,95
Chennai,2016,34000,Diesel,Manual,1,28.09,1248.0,b'58.16',5.0,Maruti,46
Kolkata,2012,55000,Diesel,Manual,1,20.5,1598.0,b'58.16',5.0,Skoda,149
Kochi,2006,160538,Diesel,Manual,1,13.1,1493.0,b'58.16',5.0,Hyundai,17
Jaipur,2014,60000,Diesel,Manual,2,19.91,1498.0,b'58.16',5.0,Volkswagen,138
Coimbatore,2017,49575,Petrol,Manual,1,18.7,1199.0,b'58.16',5.0,Honda,103
Jaipur,2010,83000,Petrol,Manual,1,19.81,1086.0,b'58.16',5.0,Hyundai,216
Kochi,2018,51346,Diesel,Automatic,1,16.38,1995.0,b'58.16',5.0,Hyundai,186
Pune,2017,43000,Diesel,Manual,1,13.68,2393.0,b'58.16',7.0,Toyota,102
Jaipur,2011,35000,Petrol,Manual,3,19.7,796.0,b'58.16',5.0,Maruti,129
Coimbatore,2017,27872,Petrol,Manual,2,20.4,1197.0,b'58.16',5.0,Maruti,176
Mumbai,2014,16514,Petrol,Manual,1,18.9,1197.0,b'58.16',5.0,Hyundai,95
Pune,2012,120000,Diesel,Manual,1,22.9,1248.0,b'58.16',5.0,Maruti,176
Hyderabad,2008,143275,Diesel,Manual,1,22.0,1582.0,b'58.16',5.0,Hyundai,191
Hyderabad,2006,99000,Petrol,Manual,1,0.0,1086.0,b'58.16',5.0,Hyundai,166
Mumbai,2010,52000,Petrol,Manual,1,17.0,1197.0,b'58.16',5.0,Hyundai,217
Coimbatore,2017,29819,Diesel,Automatic,1,11.57,2987.0,b'58.16',5.0,Mercedes-Benz,90
Bangalore,2014,57000,Diesel,Manual,2,15.8,2148.0,b'58.16',5.0,Mercedes-Benz,125
Hyderabad,2014,88500,Diesel,Manual,1,23.2,1248.0,b'58.16',5.0,Maruti,152
Bangalore,2016,28000,Diesel,Manual,1,19.67,1582.0,b'58.16',5.0,Hyundai,56
Pune,2010,67000,Petrol,Manual,1,19.0,998.0,b'58.16',5.0,Maruti,10
Delhi,2016,26000,Diesel,Manual,1,19.64,1461.0,b'58.16',5.0,Renault,60
Delhi,2010,120000,Diesel,Manual,1,17.8,1248.0,b'58.16',5.0,Fiat,96
Coimbatore,2017,51982,Diesel,Automatic,1,16.55,2993.0,b'58.16',5.0,BMW,199
Bangalore,2010,36000,Petrol,Manual,2,20.36,1197.0,b'58.16',5.0,Hyundai,216
Pune,2016,47000,Diesel,Manual,1,12.8,2494.0,b'58.16',7.0,Toyota,102
Mumbai,2002,60000,Petrol,Manual,3,17.3,993.0,b'58.16',5.0,Maruti,214
Hyderabad,2018,31025,Diesel,Manual,1,28.4,1248.0,b'58.16',5.0,Maruti,176
Pune,2013,105000,Diesel,Manual,2,12.05,2179.0,b'58.16',8.0,Mahindra,168
Pune,2017,121900,Diesel,Manual,1,22.95,1248.0,b'58.16',5.0,Tata,215
Mumbai,2017,22695,Petrol,Manual,1,18.88,999.0,b'58.16',5.0,Ford,65
Jaipur,2012,73000,Diesel,Manual,1,23.4,1248.0,b'58.16',5.0,Maruti,176
Kochi,2016,32227,Petrol,Manual,1,22.74,796.0,b'58.16',5.0,Maruti,19
Jaipur,2011,55000,Petrol,Manual,1,17.0,1497.0,b'58.16',5.0,Honda,47
Kochi,2018,11287,Diesel,Automatic,1,12.07,2967.0,b'58.16',7.0,Audi,144
Mumbai,2009,48000,Diesel,Automatic,2,17.0,1896.0,b'58.16',5.0,Skoda,111
Kochi,2012,54308,Petrol,Manual,1,17.1,1591.0,b'58.16',5.0,Hyundai,191
